"Volatility","MeanReward_Optimal","MeanReward_FLMyopic","MeanReward_Greedy","Welch_F","Welch_P","P_Val_vs_Myopic","P_Val_vs_Greedy","CI_Myo_Lower","CI_Myo_Upper","CI_Grd_Lower","CI_Grd_Upper","Diff_Means_Myopic","Diff_Means_Greedy","Pct_Imp_vs_Myopic","Pct_Imp_vs_Greedy"
0,228.916,225.001,223.787,11.3332351222281,1.27595448841735e-05,0.001,2.66e-05,1.71671794199574,6.11328205800424,2.87011390689533,7.38788609310471,3.91499999999999,5.12900000000002,1.73999226670103,2.29191150513659
0.5,242.22,232.223,231.387,56.0321677070032,2.20982712060231e-24,1.28e-11,8.14e-12,7.6637730527259,12.3302269472741,8.43232741654322,13.2336725834567,9.99699999999999,10.833,4.30491381129345,4.68176690998196
1,257.827,247.837,241.615,89.2141430695548,1.01299611272008e-37,3.68e-12,0,7.71425723424553,12.2657427657545,13.5760977815338,18.8479022184661,9.99000000000001,16.212,4.03087513163894,6.70984831239782
2,292.07,277.002,266.664,155.924563649925,1.06864117575424e-62,0,0,12.36490467708,17.7710953229199,22.1042768169803,28.7077231830197,15.068,25.406,5.43967191572623,9.52734527345274
4,387.934,363.817,344.239,196.565284202482,2.84078220134514e-76,2.63e-13,0,20.0204069810892,28.2135930189108,38.5376084479661,48.852391552034,24.117,43.695,6.62888210281543,12.6932160504766
8,620.289,577.866,542.123,201.910477460066,8.24218258331902e-78,7.06e-14,0,35.2097248503684,49.6362751496316,69.018428754957,87.3135712450428,42.423,78.1659999999999,7.34132134439472,14.4184991228928
