".y.","group1","group2","n1","n2","estimate","conf.low","conf.high","se","statistic","df","p.adj","p.adj.signif","method"
"TerminalReward","fl_myopic","greedy",974,973,0.347446771242431,-1.22576363423317,1.92065717671804,0.474281669799787,0.518008566830353,1944.4790968528,0.863,"ns","Games-Howell"
"TerminalReward","fl_myopic","optimal",974,971,-0.278890705193959,-1.86686574502754,1.30908433463962,0.478732535508134,0.411932538997438,1942.97642980403,0.911,"ns","Games-Howell"
"TerminalReward","greedy","optimal",973,971,-0.62633747643639,-2.2011030812904,0.948428128417615,0.474749912527793,0.932885852556136,1941.23513768875,0.62,"ns","Games-Howell"
