"Volatility","MeanReward_Optimal","MeanReward_FLMyopic","Welch_F","Welch_P","P_Val_vs_Myopic","CI_vs_Myopic","Diff_Means_Myopic","Pct_Imp_vs_Myopic"
0,244.775,244.042,0.256017432814833,0.774153871006844,0.793,"[-1.484, 2.95]",0.733000000000033,0.300358135075123
0.5,250.986,242.323,37.617179495635,9.37116243687795e-17,1.9e-11,"[6.361, 10.965]",8.66299999999998,3.57498050123182
1,260.84,252.713,72.1062407535094,6.99126351443302e-31,1.14e-11,"[5.856, 10.398]",8.12700000000004,3.21590104189339
2,307.069,291.667,145.314613379393,6.25035465964958e-59,0,"[12.632, 18.172]",15.402,5.28067967922322
4,389.576,364.908,183.869250310805,7.03561094622778e-72,3.22e-13,"[20.36, 28.976]",24.668,6.76006006993544
8,626.25,584.435,200.940023584307,1.77620360220358e-77,0,"[34.479, 49.151]",41.8150000000001,7.15477341363882
