"Volatility","MeanReward_Optimal","MeanReward_Greedy","Welch_F","Welch_P","P_Val_vs_Greedy","CI_vs_Greedy","Diff_Means_Greedy","Pct_Imp_vs_Greedy"
0,244.775,244.125,0.256017432814833,0.774153871006844,0.831,"[-1.55, 2.85]",0.650000000000006,0.266257040450591
0.5,250.986,242.547,37.617179495635,9.37116243687795e-17,5.35e-11,"[6, 10.878]",8.43899999999999,3.4793256564707
1,260.84,246.398,72.1062407535094,6.99126351443302e-31,0,"[11.911, 16.973]",14.442,5.86124887377334
2,307.069,283.071,145.314613379393,6.25035465964958e-59,0,"[20.761, 27.235]",23.998,8.47773173514771
4,389.576,347.355,183.869250310805,7.03561094622778e-72,0,"[37.05, 47.392]",42.221,12.1549999280275
8,626.25,550.322,200.940023584307,1.77620360220358e-77,5.86e-13,"[67.134, 84.722]",75.9280000000001,13.797013384891
